GEO,POPULATION_MUNICIPALE,NB_CONSEILLERS_TOTAL,TOTAL_HABITANTS_FICHIER_LOGEMENT,TOTAL_LOCATAIRES,PROPORTION_LOCATAIRES,NB_CONSEILLERS_LOCATAIRES
02013,386.0,11.0,386.0,49.0,12.694300518134716,1
02014,710.0,15.0,699.0,85.0,12.160228898426324,2
02015,78.0,7.0,78.0,4.0,5.128205128205128,0
02016,211.0,11.0,211.0,28.0,13.270142180094787,1
02017,281.0,11.0,281.0,70.0,24.91103202846975,3
02018,2510.0,23.0,2503.0,785.0,31.362365161805833,7
02019,352.0,11.0,352.0,83.0,23.579545454545457,3
02020,455.0,11.0,455.0,51.0,11.20879120879121,1
02021,77.0,7.0,77.0,11.0,14.285714285714285,1
02022,398.0,11.0,398.0,52.0,13.06532663316583,1
02023,98.0,7.0,98.0,4.0,4.081632653061225,0
02024,45.0,7.0,45.0,15.0,33.33333333333333,2
02025,363.0,11.0,363.0,63.0,17.355371900826448,2
02027,203.0,11.0,203.0,40.0,19.704433497536947,2
02028,2600.0,23.0,2596.0,807.0,31.08628659476117,7
02029,345.0,11.0,345.0,46.0,13.333333333333334,1
02030,243.0,11.0,243.0,45.0,18.51851851851852,2
02031,659.0,15.0,659.0,232.0,35.204855842185125,5
02032,239.0,11.0,239.0,97.0,40.58577405857741,4
02033,101.0,11.0,101.0,14.0,13.861386138613863,2
02034,110.0,11.0,110.0,18.0,16.363636363636363,2
02035,282.0,11.0,282.0,58.0,20.56737588652482,2
02036,68.0,7.0,68.0,18.0,26.47058823529412,2
02037,1366.0,15.0,1366.0,391.0,28.62371888726208,4
02038,63.0,7.0,63.0,7.0,11.11111111111111,1
02039,175.0,11.0,158.0,37.0,23.417721518987342,3
02040,176.0,11.0,176.0,36.0,20.454545454545457,2
02041,791.0,15.0,776.0,64.0,8.24742268041237,1
02042,370.0,11.0,370.0,52.0,14.054054054054054,2
02043,62.0,7.0,62.0,21.0,33.87096774193548,2
02044,25.0,7.0,25.0,9.0,36.0,3
02046,556.0,15.0,556.0,76.0,13.66906474820144,2
02047,108.0,11.0,108.0,32.0,29.629629629629626,3
02048,128.0,11.0,128.0,36.0,28.125,3
02049,746.0,15.0,746.0,85.0,11.394101876675604,2
02050,317.0,11.0,317.0,46.0,14.511041009463725,2
02051,399.0,11.0,388.0,97.0,25.0,3
02052,130.0,11.0,130.0,21.0,16.153846153846153,2
